[J15,J14]	11028.8 minutes	183.81 hours
[J13,J14,J15]	11033.0 minutes	183.88 hours
[J13,J14]	11033.1 minutes	183.89 hours
[J15,J13]	11037.1 minutes	183.95 hours
[J14,J13]	11037.2 minutes	183.95 hours
[J14,J15]	11041.7 minutes	184.03 hours
[J13,J15]	11045.9 minutes	184.1 hours
[J08,J14,J15]	11059.7 minutes	184.33 hours
[J08,J14]	11059.8 minutes	184.33 hours
[J08,J13,J15]	11063.8 minutes	184.4 hours
[J08,J13,J14]	11063.9 minutes	184.4 hours
[J08,J13]	11068.1 minutes	184.47 hours
[J08,J15]	11080.5 minutes	184.68 hours
[J06,J14,J15]	11115.6 minutes	185.26 hours
[J06,J14]	11115.7 minutes	185.26 hours
[J06,J13,J15]	11119.7 minutes	185.33 hours
[J06,J13,J14]	11119.8 minutes	185.33 hours
[J06,J13]	11124.0 minutes	185.4 hours
[J06,J15]	11136.4 minutes	185.61 hours
[J04,J14,J15]	11147.9 minutes	185.8 hours
[J04,J14]	11148.0 minutes	185.8 hours
[J04,J13,J15]	11152.1 minutes	185.87 hours
[J04,J13,J14]	11152.2 minutes	185.87 hours
[J04,J13]	11156.3 minutes	185.94 hours
[J04,J15]	11160.8 minutes	186.01 hours
[J14,J08]	11171.2 minutes	186.19 hours
[J13,J08]	11175.4 minutes	186.26 hours
[J04,J08,J15]	11178.8 minutes	186.31 hours
[J04,J08,J14]	11178.9 minutes	186.32 hours
[J04,J08,J13]	11183.0 minutes	186.38 hours
[J15,J08]	11192.1 minutes	186.54 hours
[J06,J08,J14]	11227.1 minutes	187.12 hours
[J06,J08,J13]	11231.3 minutes	187.19 hours
[J04,J06,J15]	11234.7 minutes	187.25 hours
[J04,J06,J14]	11234.8 minutes	187.25 hours
[J14,J06]	11235.9 minutes	187.27 hours
[J04,J06,J13]	11238.9 minutes	187.32 hours
[J13,J06]	11240.0 minutes	187.33 hours
[J06,J08,J15]	11248.0 minutes	187.47 hours
[J15,J06]	11248.1 minutes	187.47 hours
[J15,J04]	11267.1 minutes	187.79 hours
[J14,J04]	11267.2 minutes	187.79 hours
[J13,J04]	11271.3 minutes	187.86 hours
[J04,J08]	11290.4 minutes	188.17 hours
[J08,J04]	11298.0 minutes	188.3 hours
[J08,J06]	11312.5 minutes	188.54 hours
[J04,J06,J08]	11346.3 minutes	189.11 hours
[J06,J04]	11353.9 minutes	189.23 hours
[J04,J06]	11355.0 minutes	189.25 hours
[J06,J08]	11359.6 minutes	189.33 hours
